Lap,Temperature,Weather,Track_Surface,Downforce_Setup,Driving_Style,Race_Strategy,Safety_Car,Competitor_Strategy,Laps_Remaining,Tire_Compound
36,35,Mixed,Smooth,Medium,Aggressive,Three-stop,No,Neutral,34,Intermediate
36,11,Mixed,Rough,Low,Conservative,Three-stop,Yes,Neutral,34,Intermediate
1,19,Rainy,Moderate,Low,Aggressive,Three-stop,Yes,Undercut,69,Wet
39,21,Rainy,Moderate,High,Aggressive,One-stop,Yes,Undercut,31,Wet
26,25,Rainy,Moderate,Low,Aggressive,One-stop,No,Neutral,44,Wet
62,28,Mixed,Moderate,High,Conservative,Two-stop,No,Overcut,8,Intermediate
61,16,Mixed,Moderate,Low,Balanced,Two-stop,No,Overcut,9,Intermediate
33,21,Mixed,Smooth,Low,Balanced,Two-stop,No,Neutral,37,Intermediate
17,23,Sunny,Rough,Medium,Conservative,One-stop,No,Overcut,53,Hard
33,32,Cloudy,Rough,High,Aggressive,Two-stop,Yes,Overcut,37,Soft
29,16,Rainy,Moderate,High,Conservative,Two-stop,Yes,Undercut,41,Wet
13,31,Rainy,Smooth,Low,Balanced,One-stop,No,Overcut,57,Wet
14,34,Cloudy,Moderate,Medium,Balanced,Two-stop,No,Overcut,56,Medium
34,10,Mixed,Smooth,Low,Aggressive,Two-stop,No,Overcut,36,Intermediate
50,13,Sunny,Rough,Medium,Aggressive,One-stop,No,Undercut,20,Medium
44,40,Cloudy,Smooth,Low,Aggressive,Three-stop,Yes,Overcut,26,Soft
2,31,Rainy,Smooth,Low,Conservative,Three-stop,Yes,Undercut,68,Wet
67,40,Cloudy,Moderate,Medium,Aggressive,Three-stop,No,Neutral,3,Soft
28,39,Sunny,Moderate,Low,Aggressive,Three-stop,No,Overcut,42,Soft
44,40,Mixed,Rough,Low,Aggressive,Two-stop,No,Neutral,26,Intermediate
60,36,Cloudy,Moderate,Low,Conservative,Three-stop,No,Undercut,10,Soft
55,22,Sunny,Smooth,High,Aggressive,One-stop,No,Undercut,15,Hard
17,39,Mixed,Smooth,Medium,Aggressive,One-stop,Yes,Neutral,53,Intermediate
39,30,Cloudy,Smooth,Medium,Aggressive,Three-stop,Yes,Undercut,31,Medium
31,15,Sunny,Rough,Low,Conservative,One-stop,Yes,Undercut,39,Hard
12,23,Rainy,Smooth,Medium,Balanced,Three-stop,Yes,Overcut,58,Wet
33,13,Sunny,Smooth,Low,Balanced,Three-stop,No,Overcut,37,Medium
5,17,Mixed,Rough,Medium,Aggressive,Three-stop,No,Undercut,65,Intermediate
37,11,Mixed,Smooth,High,Balanced,Three-stop,No,Overcut,33,Intermediate
19,33,Mixed,Moderate,Low,Balanced,Two-stop,No,Overcut,51,Intermediate
16,20,Cloudy,Rough,Medium,Aggressive,Two-stop,Yes,Overcut,54,Medium
21,42,Sunny,Smooth,Low,Balanced,Three-stop,Yes,Overcut,49,Hard
62,40,Sunny,Smooth,Medium,Balanced,Three-stop,Yes,Neutral,8,Soft
11,43,Rainy,Rough,Medium,Balanced,Three-stop,No,Overcut,59,Wet
59,38,Cloudy,Rough,Low,Balanced,Two-stop,Yes,Neutral,11,Soft
36,24,Mixed,Moderate,Medium,Aggressive,Two-stop,No,Overcut,34,Intermediate
12,27,Cloudy,Rough,Medium,Conservative,One-stop,Yes,Undercut,58,Medium
17,40,Rainy,Moderate,Low,Conservative,Three-stop,No,Overcut,53,Wet
30,39,Sunny,Smooth,High,Conservative,Three-stop,Yes,Undercut,40,Hard
10,27,Sunny,Rough,Low,Aggressive,One-stop,No,Neutral,60,Medium
23,25,Mixed,Rough,Low,Balanced,Three-stop,Yes,Overcut,47,Intermediate
24,18,Mixed,Rough,High,Balanced,One-stop,Yes,Undercut,46,Intermediate
29,30,Cloudy,Rough,Medium,Balanced,One-stop,Yes,Undercut,41,Medium
64,27,Mixed,Rough,Low,Conservative,Three-stop,Yes,Undercut,6,Intermediate
30,34,Sunny,Smooth,Low,Conservative,Three-stop,No,Neutral,40,Medium
60,21,Cloudy,Smooth,Medium,Balanced,Two-stop,Yes,Undercut,10,Soft
19,11,Rainy,Moderate,Low,Conservative,Two-stop,No,Overcut,51,Wet
33,39,Cloudy,Rough,High,Conservative,Two-stop,No,Neutral,37,Hard
60,43,Rainy,Rough,Medium,Balanced,One-stop,Yes,Neutral,10,Wet
50,41,Cloudy,Rough,High,Aggressive,Three-stop,Yes,Neutral,20,Soft
68,34,Sunny,Rough,High,Conservative,Three-stop,No,Overcut,2,Soft
67,13,Rainy,Rough,High,Aggressive,Three-stop,Yes,Overcut,3,Wet
14,33,Sunny,Moderate,High,Conservative,One-stop,Yes,Neutral,56,Medium
15,11,Mixed,Rough,Medium,Aggressive,One-stop,Yes,Overcut,55,Intermediate
22,34,Sunny,Moderate,High,Conservative,One-stop,No,Undercut,48,Medium
48,25,Sunny,Smooth,High,Aggressive,Three-stop,No,Undercut,22,Medium
20,27,Rainy,Smooth,High,Conservative,Three-stop,No,Overcut,50,Wet
55,36,Cloudy,Moderate,High,Conservative,One-stop,No,Undercut,15,Hard
30,12,Cloudy,Rough,Low,Conservative,One-stop,No,Neutral,40,Hard
6,35,Sunny,Smooth,Low,Balanced,Three-stop,No,Neutral,64,Medium
55,35,Rainy,Moderate,High,Aggressive,Three-stop,Yes,Undercut,15,Wet
9,44,Cloudy,Smooth,Medium,Balanced,Three-stop,Yes,Undercut,61,Hard
66,16,Mixed,Rough,Low,Aggressive,Two-stop,Yes,Neutral,4,Intermediate
37,17,Rainy,Moderate,Medium,Balanced,Three-stop,Yes,Overcut,33,Wet
30,23,Rainy,Rough,Medium,Balanced,Three-stop,Yes,Undercut,40,Wet
60,28,Mixed,Rough,High,Conservative,Two-stop,Yes,Neutral,10,Intermediate
10,10,Mixed,Moderate,High,Balanced,One-stop,No,Neutral,60,Intermediate
9,39,Cloudy,Moderate,High,Aggressive,One-stop,No,Undercut,61,Medium
56,39,Cloudy,Smooth,Medium,Conservative,Three-stop,Yes,Overcut,14,Soft
13,15,Cloudy,Rough,Low,Conservative,One-stop,No,Overcut,57,Hard
59,22,Rainy,Rough,High,Balanced,Three-stop,Yes,Neutral,11,Wet
1,18,Cloudy,Smooth,Medium,Conservative,Three-stop,No,Undercut,69,Medium
66,44,Rainy,Rough,Low,Balanced,Three-stop,No,Neutral,4,Wet
12,25,Mixed,Moderate,Low,Conservative,Two-stop,No,Overcut,58,Intermediate
57,13,Mixed,Smooth,High,Aggressive,Two-stop,No,Neutral,13,Intermediate
54,38,Mixed,Smooth,High,Balanced,Three-stop,Yes,Neutral,16,Intermediate
30,27,Sunny,Rough,Medium,Conservative,Two-stop,No,Neutral,40,Soft
54,33,Mixed,Moderate,High,Aggressive,Three-stop,Yes,Overcut,16,Intermediate
59,16,Cloudy,Moderate,Medium,Balanced,Three-stop,Yes,Overcut,11,Soft
16,19,Rainy,Rough,Low,Balanced,One-stop,Yes,Neutral,54,Wet
61,11,Mixed,Smooth,Low,Conservative,Three-stop,No,Neutral,9,Intermediate
29,30,Cloudy,Moderate,Low,Conservative,One-stop,Yes,Undercut,41,Medium
39,13,Sunny,Rough,High,Balanced,One-stop,No,Overcut,31,Hard
28,40,Rainy,Moderate,Low,Balanced,One-stop,Yes,Overcut,42,Wet
32,31,Mixed,Rough,High,Balanced,Three-stop,Yes,Neutral,38,Intermediate
66,44,Sunny,Rough,High,Balanced,Two-stop,Yes,Undercut,4,Soft
44,20,Mixed,Smooth,High,Balanced,Three-stop,Yes,Overcut,26,Intermediate
44,38,Rainy,Smooth,Low,Aggressive,Three-stop,Yes,Neutral,26,Wet
38,29,Mixed,Moderate,Medium,Balanced,Three-stop,Yes,Neutral,32,Intermediate
43,24,Rainy,Rough,Low,Aggressive,One-stop,Yes,Neutral,27,Wet
39,36,Cloudy,Smooth,Medium,Conservative,One-stop,Yes,Neutral,31,Hard
67,11,Cloudy,Smooth,Medium,Aggressive,One-stop,No,Undercut,3,Soft
35,43,Sunny,Rough,High,Aggressive,Two-stop,No,Undercut,35,Soft
48,28,Rainy,Rough,Medium,Aggressive,Three-stop,Yes,Neutral,22,Wet
60,12,Mixed,Moderate,High,Balanced,Three-stop,Yes,Neutral,10,Intermediate
20,29,Sunny,Moderate,High,Balanced,Two-stop,Yes,Neutral,50,Medium
33,13,Rainy,Rough,Low,Aggressive,Three-stop,Yes,Undercut,37,Wet
66,24,Cloudy,Moderate,Medium,Aggressive,Two-stop,Yes,Neutral,4,Soft
53,19,Mixed,Rough,High,Conservative,Three-stop,No,Undercut,17,Intermediate
52,16,Sunny,Smooth,High,Conservative,Three-stop,No,Undercut,18,Medium
14,28,Mixed,Rough,Low,Aggressive,Two-stop,No,Overcut,56,Intermediate
15,10,Rainy,Rough,Medium,Aggressive,One-stop,Yes,Undercut,55,Wet
62,12,Cloudy,Moderate,Low,Conservative,Two-stop,No,Undercut,8,Soft
8,26,Mixed,Smooth,Medium,Aggressive,Two-stop,No,Undercut,62,Intermediate
39,44,Sunny,Moderate,Low,Conservative,Two-stop,No,Undercut,31,Hard
6,38,Cloudy,Moderate,Low,Aggressive,One-stop,Yes,Neutral,64,Medium
64,17,Rainy,Moderate,Low,Balanced,Three-stop,Yes,Undercut,6,Wet
2,26,Cloudy,Moderate,Medium,Conservative,Three-stop,No,Undercut,68,Medium
64,24,Cloudy,Moderate,Medium,Balanced,One-stop,No,Overcut,6,Soft
49,26,Sunny,Smooth,Low,Aggressive,One-stop,Yes,Undercut,21,Medium
59,31,Rainy,Rough,High,Conservative,One-stop,No,Overcut,11,Wet
9,12,Sunny,Moderate,Low,Aggressive,Three-stop,No,Overcut,61,Medium
40,34,Rainy,Moderate,Medium,Balanced,One-stop,Yes,Neutral,30,Wet
17,34,Mixed,Moderate,High,Conservative,Two-stop,Yes,Overcut,53,Intermediate
54,20,Cloudy,Rough,High,Balanced,Three-stop,No,Overcut,16,Medium
59,26,Cloudy,Smooth,Medium,Aggressive,Two-stop,Yes,Overcut,11,Soft
63,39,Cloudy,Rough,Low,Conservative,Two-stop,Yes,Neutral,7,Soft
11,38,Cloudy,Smooth,High,Aggressive,Three-stop,Yes,Overcut,59,Soft
23,10,Cloudy,Smooth,Low,Aggressive,Two-stop,No,Undercut,47,Medium
35,41,Mixed,Rough,Medium,Conservative,One-stop,No,Overcut,35,Intermediate
58,17,Mixed,Rough,Low,Conservative,Three-stop,Yes,Overcut,12,Intermediate
29,28,Sunny,Smooth,Medium,Balanced,One-stop,Yes,Neutral,41,Medium
14,21,Cloudy,Moderate,Medium,Conservative,One-stop,No,Neutral,56,Hard
20,24,Rainy,Moderate,Low,Conservative,Two-stop,No,Neutral,50,Wet
28,12,Mixed,Rough,Medium,Conservative,Three-stop,No,Neutral,42,Intermediate
36,18,Rainy,Smooth,Low,Balanced,Three-stop,Yes,Overcut,34,Wet
61,24,Mixed,Moderate,Medium,Balanced,One-stop,No,Overcut,9,Intermediate
11,33,Mixed,Smooth,Low,Balanced,Two-stop,Yes,Neutral,59,Intermediate
43,36,Cloudy,Rough,Low,Balanced,Three-stop,Yes,Neutral,27,Hard
2,27,Rainy,Rough,Medium,Aggressive,Two-stop,No,Overcut,68,Wet
39,41,Mixed,Rough,Medium,Aggressive,One-stop,No,Neutral,31,Intermediate
17,15,Cloudy,Rough,Medium,Conservative,Two-stop,Yes,Undercut,53,Medium
49,25,Rainy,Smooth,Low,Balanced,Two-stop,No,Neutral,21,Wet
26,18,Cloudy,Rough,Low,Balanced,Three-stop,No,Undercut,44,Medium
22,41,Sunny,Smooth,Low,Aggressive,Three-stop,No,Undercut,48,Soft
44,39,Sunny,Rough,Low,Conservative,One-stop,No,Overcut,26,Hard
8,35,Cloudy,Moderate,High,Conservative,One-stop,No,Overcut,62,Medium
17,42,Rainy,Rough,Low,Balanced,Three-stop,No,Undercut,53,Wet
46,21,Rainy,Moderate,High,Aggressive,Three-stop,Yes,Overcut,24,Wet
50,30,Cloudy,Smooth,Medium,Balanced,Two-stop,No,Neutral,20,Medium
23,29,Rainy,Moderate,High,Aggressive,Two-stop,Yes,Neutral,47,Wet
13,30,Cloudy,Moderate,Medium,Conservative,Two-stop,Yes,Overcut,57,Medium
38,43,Mixed,Moderate,Low,Balanced,Three-stop,Yes,Neutral,32,Intermediate
66,22,Mixed,Rough,Low,Balanced,One-stop,Yes,Neutral,4,Intermediate
19,21,Mixed,Rough,Low,Balanced,Two-stop,Yes,Neutral,51,Intermediate
8,31,Sunny,Rough,Medium,Aggressive,One-stop,No,Neutral,62,Medium
10,42,Rainy,Smooth,High,Conservative,Two-stop,No,Overcut,60,Wet
56,24,Sunny,Moderate,High,Balanced,One-stop,Yes,Neutral,14,Soft
9,19,Sunny,Smooth,Low,Balanced,Two-stop,No,Undercut,61,Medium
18,39,Sunny,Rough,Low,Balanced,Three-stop,No,Overcut,52,Hard
16,17,Mixed,Moderate,High,Balanced,One-stop,No,Neutral,54,Intermediate
20,11,Mixed,Rough,High,Conservative,One-stop,Yes,Undercut,50,Intermediate
55,28,Sunny,Smooth,Low,Conservative,Three-stop,No,Undercut,15,Medium
47,36,Sunny,Smooth,Medium,Conservative,One-stop,No,Undercut,23,Hard
7,11,Mixed,Smooth,Low,Balanced,One-stop,No,Neutral,63,Intermediate
1,44,Rainy,Rough,Medium,Conservative,Three-stop,Yes,Undercut,69,Wet
68,16,Cloudy,Rough,Medium,Conservative,Three-stop,No,Neutral,2,Soft
11,13,Mixed,Rough,Medium,Conservative,One-stop,Yes,Neutral,59,Intermediate
58,32,Sunny,Rough,Low,Conservative,Two-stop,No,Undercut,12,Soft
45,29,Mixed,Rough,Medium,Conservative,Two-stop,Yes,Overcut,25,Intermediate
50,16,Cloudy,Smooth,Low,Conservative,Three-stop,No,Undercut,20,Medium
54,42,Sunny,Smooth,Medium,Aggressive,One-stop,No,Overcut,16,Medium
49,30,Cloudy,Rough,High,Balanced,Two-stop,No,Overcut,21,Soft
36,34,Rainy,Rough,High,Conservative,Three-stop,No,Undercut,34,Wet
63,41,Sunny,Moderate,High,Aggressive,Three-stop,Yes,Neutral,7,Soft
17,30,Rainy,Rough,High,Balanced,Three-stop,No,Overcut,53,Wet
33,28,Cloudy,Rough,Low,Aggressive,Three-stop,Yes,Undercut,37,Soft
4,35,Sunny,Moderate,Medium,Balanced,Two-stop,Yes,Neutral,66,Medium
9,34,Cloudy,Moderate,Medium,Conservative,Two-stop,No,Undercut,61,Medium
21,18,Rainy,Moderate,Medium,Balanced,Three-stop,Yes,Undercut,49,Wet
62,13,Mixed,Moderate,Low,Balanced,One-stop,No,Undercut,8,Intermediate
1,44,Rainy,Rough,Medium,Aggressive,Three-stop,No,Overcut,69,Wet
49,41,Rainy,Moderate,High,Aggressive,Three-stop,Yes,Neutral,21,Wet
51,27,Sunny,Rough,High,Balanced,Two-stop,Yes,Undercut,19,Soft
47,34,Sunny,Smooth,Low,Balanced,Two-stop,Yes,Overcut,23,Medium
7,20,Cloudy,Smooth,High,Aggressive,One-stop,No,Overcut,63,Hard
60,34,Rainy,Rough,Low,Aggressive,One-stop,No,Neutral,10,Wet
7,22,Rainy,Rough,High,Balanced,One-stop,Yes,Undercut,63,Wet
34,12,Sunny,Smooth,Medium,Balanced,One-stop,No,Neutral,36,Medium
42,41,Sunny,Moderate,High,Aggressive,One-stop,Yes,Overcut,28,Medium
65,18,Rainy,Rough,Low,Conservative,Two-stop,No,Overcut,5,Wet
47,25,Sunny,Smooth,Medium,Conservative,Three-stop,No,Undercut,23,Medium
40,22,Mixed,Smooth,Medium,Balanced,Two-stop,Yes,Neutral,30,Intermediate
31,21,Mixed,Smooth,Medium,Conservative,One-stop,No,Undercut,39,Intermediate
16,35,Sunny,Smooth,Medium,Conservative,Three-stop,No,Overcut,54,Medium
27,24,Rainy,Rough,Low,Conservative,One-stop,Yes,Neutral,43,Wet
6,27,Mixed,Rough,Low,Conservative,Three-stop,No,Undercut,64,Intermediate
56,39,Sunny,Rough,High,Conservative,Two-stop,Yes,Neutral,14,Soft
67,11,Cloudy,Smooth,High,Balanced,One-stop,Yes,Undercut,3,Soft
38,20,Rainy,Moderate,Medium,Aggressive,One-stop,No,Undercut,32,Wet
23,10,Sunny,Moderate,Medium,Conservative,One-stop,Yes,Neutral,47,Hard
57,10,Mixed,Smooth,Medium,Balanced,Two-stop,No,Neutral,13,Intermediate
32,39,Rainy,Moderate,High,Conservative,Three-stop,Yes,Neutral,38,Wet
2,34,Sunny,Moderate,High,Conservative,Two-stop,Yes,Undercut,68,Medium
56,22,Mixed,Rough,Medium,Balanced,Three-stop,Yes,Undercut,14,Intermediate
18,12,Rainy,Rough,High,Balanced,Three-stop,Yes,Overcut,52,Wet
29,10,Mixed,Moderate,High,Conservative,Two-stop,No,Undercut,41,Intermediate
3,28,Cloudy,Moderate,High,Conservative,Two-stop,No,Neutral,67,Medium
15,16,Cloudy,Rough,Medium,Balanced,One-stop,Yes,Undercut,55,Medium
48,24,Sunny,Smooth,High,Aggressive,Three-stop,No,Overcut,22,Medium
64,22,Rainy,Moderate,Low,Aggressive,One-stop,Yes,Overcut,6,Wet
9,34,Rainy,Moderate,Medium,Conservative,Two-stop,Yes,Overcut,61,Wet
49,39,Cloudy,Moderate,Medium,Aggressive,Two-stop,Yes,Undercut,21,Soft
24,42,Rainy,Smooth,Low,Aggressive,Three-stop,Yes,Undercut,46,Wet
14,30,Rainy,Moderate,Low,Balanced,Two-stop,Yes,Overcut,56,Wet
4,17,Mixed,Moderate,High,Aggressive,Two-stop,Yes,Undercut,66,Intermediate
50,11,Sunny,Smooth,Low,Aggressive,Three-stop,Yes,Undercut,20,Medium
52,30,Sunny,Smooth,Low,Balanced,Two-stop,No,Overcut,18,Medium
66,24,Rainy,Smooth,High,Conservative,Three-stop,Yes,Overcut,4,Wet
4,37,Cloudy,Moderate,High,Aggressive,One-stop,No,Undercut,66,Medium
3,39,Sunny,Rough,Medium,Balanced,One-stop,Yes,Overcut,67,Hard
13,31,Cloudy,Rough,Medium,Conservative,Three-stop,Yes,Undercut,57,Soft
19,14,Mixed,Smooth,High,Balanced,One-stop,No,Neutral,51,Intermediate
20,12,Cloudy,Moderate,Low,Conservative,Two-stop,No,Overcut,50,Medium
34,14,Rainy,Smooth,Low,Balanced,One-stop,Yes,Undercut,36,Wet
52,44,Sunny,Moderate,Medium,Balanced,Two-stop,No,Undercut,18,Hard
10,17,Rainy,Rough,Medium,Balanced,Three-stop,Yes,Overcut,60,Wet
2,18,Rainy,Smooth,Low,Balanced,Three-stop,No,Neutral,68,Wet
38,29,Cloudy,Rough,Medium,Balanced,One-stop,No,Neutral,32,Medium
4,26,Cloudy,Moderate,High,Balanced,Three-stop,No,Neutral,66,Medium
57,23,Cloudy,Rough,Low,Conservative,Two-stop,No,Overcut,13,Soft
61,11,Cloudy,Smooth,Medium,Conservative,One-stop,No,Undercut,9,Soft
64,25,Sunny,Rough,Medium,Conservative,One-stop,No,Undercut,6,Soft
14,19,Mixed,Moderate,High,Aggressive,Two-stop,No,Undercut,56,Intermediate
20,34,Mixed,Moderate,Low,Conservative,Two-stop,Yes,Overcut,50,Intermediate
1,30,Rainy,Smooth,High,Conservative,Three-stop,Yes,Undercut,69,Wet
56,33,Mixed,Rough,Medium,Conservative,Two-stop,No,Overcut,14,Intermediate
6,42,Mixed,Moderate,High,Conservative,Three-stop,No,Undercut,64,Intermediate
63,22,Mixed,Moderate,High,Aggressive,Two-stop,Yes,Neutral,7,Intermediate
46,32,Mixed,Rough,Medium,Aggressive,One-stop,Yes,Neutral,24,Intermediate
38,20,Rainy,Rough,Medium,Aggressive,Two-stop,No,Overcut,32,Wet
36,13,Sunny,Smooth,Medium,Conservative,One-stop,Yes,Overcut,34,Hard
29,19,Mixed,Smooth,Medium,Conservative,Two-stop,No,Undercut,41,Intermediate
2,43,Sunny,Moderate,Low,Balanced,One-stop,No,Neutral,68,Hard
60,14,Mixed,Rough,Medium,Aggressive,One-stop,Yes,Overcut,10,Intermediate
67,20,Cloudy,Rough,High,Conservative,One-stop,No,Overcut,3,Soft
57,41,Sunny,Moderate,Medium,Aggressive,Three-stop,Yes,Neutral,13,Soft
35,29,Rainy,Moderate,High,Aggressive,Three-stop,Yes,Neutral,35,Wet
21,13,Cloudy,Smooth,Medium,Aggressive,One-stop,No,Neutral,49,Medium
39,41,Cloudy,Moderate,Low,Balanced,Two-stop,Yes,Undercut,31,Hard
52,25,Cloudy,Rough,Medium,Conservative,Two-stop,No,Neutral,18,Medium
58,42,Sunny,Rough,High,Aggressive,One-stop,No,Undercut,12,Soft
62,13,Mixed,Moderate,High,Balanced,Three-stop,No,Neutral,8,Intermediate
49,36,Sunny,Moderate,Medium,Aggressive,Three-stop,No,Neutral,21,Soft
51,16,Mixed,Rough,Medium,Balanced,Two-stop,Yes,Overcut,19,Intermediate
49,43,Mixed,Smooth,High,Balanced,Three-stop,Yes,Overcut,21,Intermediate
34,15,Sunny,Moderate,High,Balanced,Two-stop,Yes,Neutral,36,Medium
58,41,Rainy,Smooth,High,Aggressive,Three-stop,Yes,Neutral,12,Wet
5,38,Rainy,Smooth,High,Aggressive,Three-stop,No,Overcut,65,Wet
1,34,Cloudy,Smooth,High,Aggressive,Two-stop,Yes,Neutral,69,Medium
57,32,Mixed,Moderate,High,Aggressive,Three-stop,No,Overcut,13,Intermediate
2,18,Sunny,Rough,High,Conservative,Two-stop,Yes,Undercut,68,Medium
38,22,Rainy,Smooth,Medium,Conservative,Two-stop,Yes,Undercut,32,Wet
32,34,Rainy,Smooth,Low,Conservative,One-stop,No,Neutral,38,Wet
3,13,Sunny,Smooth,Medium,Aggressive,Three-stop,Yes,Neutral,67,Medium
1,14,Sunny,Rough,Medium,Balanced,One-stop,No,Neutral,69,Medium
64,40,Mixed,Moderate,High,Aggressive,One-stop,Yes,Overcut,6,Intermediate
66,43,Mixed,Moderate,Medium,Conservative,Three-stop,Yes,Undercut,4,Intermediate
13,31,Cloudy,Rough,Low,Balanced,One-stop,No,Undercut,57,Medium
43,42,Rainy,Moderate,High,Aggressive,Two-stop,No,Neutral,27,Wet
62,17,Rainy,Smooth,High,Balanced,One-stop,Yes,Overcut,8,Wet
33,20,Cloudy,Moderate,Medium,Balanced,One-stop,Yes,Overcut,37,Medium
32,29,Cloudy,Smooth,Medium,Aggressive,Three-stop,No,Overcut,38,Medium
12,21,Mixed,Moderate,Medium,Conservative,Two-stop,Yes,Neutral,58,Intermediate
64,43,Sunny,Smooth,High,Conservative,Three-stop,Yes,Overcut,6,Soft
36,41,Sunny,Rough,Low,Conservative,Three-stop,Yes,Neutral,34,Hard
1,37,Sunny,Moderate,Low,Conservative,One-stop,Yes,Overcut,69,Hard
